"ID","地名ID","地名","別名","種別","備考"
291,888,"松前郡","マツマエ","郡ヨミ",""
292,889,"沼隈郡","ヌマクマ","郡ヨミ",""
293,890,"上磯郡","カミイソ","郡ヨミ",""
294,891,"上京","カミキョウ","郡ヨミ",""
295,892,"上高井郡","カミタカイ","郡ヨミ",""
296,893,"上新川郡","カミニイカワ","郡ヨミ",""
297,894,"上川郡","カミカワ","郡ヨミ",""
298,895,"上道郡","カミツミチ","郡ヨミ",""
299,896,"上浮穴郡","カミウケナ","郡ヨミ",""
300,897,"上閉伊郡","カミヘイ","郡ヨミ",""
301,898,"上房郡","ジヨウボウ","郡ヨミ",""
302,899,"上毛郡","コウゲ","郡ヨミ",""
303,900,"城崎郡","キノサキ","郡ヨミ",""
304,901,"常呂郡","トコロ","郡ヨミ",""
305,902,"埴科郡","ハニシナ","郡ヨミ",""
306,903,"飾磨郡","シカマ","郡ヨミ",""
307,905,"信夫郡","シノブ","郡ヨミ",""
308,906,"新冠郡","ニカプ","郡ヨミ",""
309,907,"新居郡","ニイ","郡ヨミ",""
310,908,"新治郡","ニイバリ","郡ヨミ",""
311,909,"新田郡","ニツタ","郡ヨミ",""
312,910,"榛原郡","ハイバラ","郡ヨミ",""
313,911,"深安郡","フカヤス","郡ヨミ",""
314,912,"深川区","フカガハク","郡ヨミ",""
315,914,"真壁郡","マカベ","郡ヨミ",""
316,915,"神崎郡","カンザキ","郡ヨミ",""
317,916,"神埼郡","カンザキ","郡ヨミ",""
318,917,"神田区","カンダ","郡ヨミ",""
319,918,"神門郡","カンド","郡ヨミ",""
320,919,"仁多郡","ニタ","郡ヨミ",""
321,920,"諏訪郡","スワ","郡ヨミ",""
322,921,"水内郡","ミノチ","郡ヨミ",""
323,922,"世羅郡","セラ","郡ヨミ",""
324,923,"瀬棚郡","セタナイ","郡ヨミ",""
325,924,"勢多郡","セタ","郡ヨミ",""
326,925,"生駒郡","イコマ","郡ヨミ",""
327,926,"西宇和郡","ニシウワ","郡ヨミ",""
328,927,"西蒲原郡","ニシカンバラ","郡ヨミ",""
329,928,"西山梨郡","ニシヤマナシ","郡ヨミ",""
330,929,"西春日井郡","ニシカスガイ","郡ヨミ",""
331,930,"西諸県郡","ニシモロカタ","郡ヨミ",""
332,931,"西村山郡","ニシムラヤマ","郡ヨミ",""
333,932,"西多摩","ニシタマ","郡ヨミ",""
334,933,"西置賜郡","ニシオイタマ","郡ヨミ",""
335,934,"西筑摩郡","ニシチクマ","郡ヨミ",""
336,935,"西津軽郡","キタツガル","郡ヨミ",""
337,935,"西津軽郡","ニシツガル","郡ヨミ",""
338,936,"西田川郡","ニシタガワ","郡ヨミ",""
339,937,"西伯郡","サイハク","郡ヨミ",""
340,938,"西白河郡","ニシシラカワ","郡ヨミ",""
341,939,"西八代郡","ニシヤツシロ","郡ヨミ",""
342,940,"西磐井郡","ニシイワイ","郡ヨミ",""
343,941,"西彼杵郡","ニシソノキ","郡ヨミ",""
344,942,"西牟婁郡","ニシムロ","郡ヨミ",""
345,943,"西頸城郡","ニシクビキ","郡ヨミ",""
346,944,"静内郡","シツナイ","郡ヨミ",""
347,945,"石狩郡","イシカリ","郡ヨミ",""
348,946,"石城郡","イワキ","郡ヨミ",""
349,947,"石川郡","イシカワ","郡ヨミ",""
350,948,"積丹郡","シヤコタン","郡ヨミ",""
351,949,"赤坂区","アカサカ","郡ヨミ",""
352,950,"赤坂郡","アカサカ","郡ヨミ",""
353,951,"赤穂郡","アカホ","郡ヨミ",""
354,952,"設楽郡","シダラ","郡ヨミ",""
355,953,"仙北郡","センボク","郡ヨミ",""
356,954,"先島群島","サキシマ","郡ヨミ",""
357,955,"千歳郡","チトセ","郡ヨミ",""
358,956,"千葉郡","チバ","郡ヨミ",""
359,958,"川上郡","カワカミ","郡ヨミ",""
360,959,"川辺郡","カワナベ","郡ヨミ",""
361,960,"泉南郡","センナン","郡ヨミ",""
362,961,"泉北郡","センボク","郡ヨミ",""
363,962,"浅井郡","アサイ","郡ヨミ",""
364,963,"浅口郡","アサグチ","郡ヨミ",""
365,964,"浅草区","アサクサク","郡ヨミ",""
366,965,"船井郡","フナイ","郡ヨミ",""
367,966,"双葉郡","フタバ","郡ヨミ",""
368,967,"匝瑳郡","ソウサ","郡ヨミ",""
369,968,"早良郡","サワラ","郡ヨミ",""
370,969,"相楽郡","サガラ","郡ヨミ",""
371,970,"相馬郡","ソウマ","郡ヨミ",""
372,972,"増毛郡","マシケ","郡ヨミ",""
373,973,"足羽郡","アスワ","郡ヨミ",""
374,973,"足羽郡","ヨシダ","郡ヨミ",""
375,974,"足寄郡","アシヨロ","郡ヨミ",""
376,975,"足柄郡","アシガラ","郡ヨミ",""
377,976,"足利郡","アシカガ","郡ヨミ",""
378,977,"速見郡","ハヤミ","郡ヨミ",""
379,978,"多可郡","タカ","郡ヨミ",""
380,979,"多賀郡","タカ","郡ヨミ",""
381,980,"多気郡","タケ","郡ヨミ",""
382,981,"多紀郡","タキ","郡ヨミ",""
383,982,"多摩郡","タマ","郡ヨミ",""
384,983,"多野郡","タノ","郡ヨミ",""
385,984,"太櫓郡","フトロ","郡ヨミ",""
386,985,"大原郡","オオハラ","郡ヨミ",""
387,986,"大坂","オオサカ","郡ヨミ",""
388,987,"大沼郡","オオヌマ","郡ヨミ",""
389,988,"大川郡","オオカワ","郡ヨミ",""
390,989,"大津郡","オオツ","郡ヨミ",""
391,990,"大庭郡","オオバ","郡ヨミ",""
392,991,"大島郡","オオシマ","郡ヨミ",""
393,993,"大飯郡","オオイイ","郡ヨミ",""
394,994,"大分郡","オホイタ","郡ヨミ",""
395,995,"大野郡","オオノ","郡ヨミ",""
396,996,"大里郡","オホサトグン","郡ヨミ",""
397,997,"丹羽郡","ニワ","郡ヨミ",""
398,998,"丹生郡","ニユウ","郡ヨミ",""
399,999,"胆沢郡","イサワ","郡ヨミ",""
400,1000,"知多郡","チタ","郡ヨミ",""
401,1001,"知夫郡","チブ","郡ヨミ",""
402,1002,"置賜郡","オイタマ","郡ヨミ",""
403,1003,"築城郡","ツイキ","郡ヨミ",""
404,1004,"竹野郡","タカノ","郡ヨミ",""
405,1005,"筑紫郡","チクシ","郡ヨミ",""
406,1006,"筑波郡","ツクバ","郡ヨミ",""
407,1007,"秩父郡","チチブグン","郡ヨミ",""
408,1008,"中河内郡","ナカカワチ","郡ヨミ",""
409,1009,"中蒲原郡","ナカカンバラ","郡ヨミ",""
410,1010,"中巨麻郡","キタコマ","郡ヨミ",""
411,1010,"中巨麻郡","ナカコマ","郡ヨミ",""
412,1011,"中魚沼郡","ナカウオヌマ","郡ヨミ",""
413,1012,"中郡","ナカ","郡ヨミ",""
414,1013,"中項","ナカガミ","郡ヨミ",""
415,1014,"中新川郡","ナカニイカワ","郡ヨミ",""
416,1015,"中川郡","ナカカワ","郡ヨミ",""
417,1015,"中川郡","ナカガワ","郡ヨミ",""
418,1016,"中津軽郡","ナカツガル","郡ヨミ",""
419,1017,"中島郡","ナカジマ","郡ヨミ",""
420,1018,"中頭","ナカガミ","郡ヨミ",""
421,1019,"中頸城郡","ナカクビキ","郡ヨミ",""
422,1020,"仲多度郡","ナタカド","郡ヨミ",""
423,1021,"朝倉郡","アサクラ","郡ヨミ",""
424,1022,"朝来郡","アサゴ","郡ヨミ",""
425,1023,"長岡郡","ナガオカ","郡ヨミ",""
426,1024,"長生郡","イチハラ","郡ヨミ",""
427,1024,"長生郡","チヨウセイ","郡ヨミ",""
428,1025,"直入郡","ナホリ","郡ヨミ",""
429,1026,"津軽郡","ツガル","郡ヨミ",""
430,1027,"津高郡","ツタカ","郡ヨミ",""
431,1028,"津名郡","ツナ","郡ヨミ",""
432,1029,"綴喜郡","ツヅキ","郡ヨミ",""
433,1030,"哲多郡","テツタ","郡ヨミ",""
434,1031,"天塩郡","テシオ","郡ヨミ",""
435,1032,"天草郡","アマクサ","郡ヨミ",""
436,1033,"天田郡","アマタ","郡ヨミ",""
437,1034,"添上郡","ソウノカミ","郡ヨミ",""
438,1035,"田川郡","タガワ","郡ヨミ",""
439,1036,"田村郡","タムラ","郡ヨミ",""
440,1037,"田方郡","タガタ","郡ヨミ",""
441,1038,"登米郡","トヨマ","郡ヨミ",""
